id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating
2992450,https://www.airbnb.com/rooms/2992450,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",4621559,Kenneth,07/01/13,"New York, NY",N/A,N/A,100%,f,1,5,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,2,2,9,3.56
3820211,https://www.airbnb.com/rooms/3820211,Restored Precinct in Center Sq. w/Parking,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.",19648678,Terra,07/08/14,,within a few hours,100%,76%,f,4,7,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,305,4.75
5651579,https://www.airbnb.com/rooms/5651579,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment",29288920,Gregg,13/03/15,"Albany, NY",within an hour,100%,99%,f,2,2,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,2,1,1 bath,0,1,366,4.51
6623339,https://www.airbnb.com/rooms/6623339,Center Sq. Loft in Converted Precinct w/ Parking,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.",19648678,Terra,07/08/14,,within a few hours,100%,76%,f,4,7,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,328,4.73
8035768,https://www.airbnb.com/rooms/8035768,Entire Beautiful French Victorian 1884,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.",42430824,John M,24/08/15,,within a day,67%,50%,f,2,3,"['email', 'phone']",Entire home,Entire home/apt,6,3.5,3.5 baths,3,3,56,4.75
8035784,https://www.airbnb.com/rooms/8035784,Delightful French Victorian,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.",42430824,John M,24/08/15,,within a day,67%,50%,f,2,3,"['email', 'phone']",Private room in home,Private room,2,2.5,2.5 shared baths,1,1,18,4.61
9005989,https://www.airbnb.com/rooms/9005989,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater",17766924,Sugey,07/07/14,"Albany, NY",within an hour,100%,100%,f,1,1,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,1,2,598,4.79
9501054,https://www.airbnb.com/rooms/9501054,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",29288920,Gregg,13/03/15,"Albany, NY",within an hour,100%,99%,f,2,2,"['email', 'phone', 'work_email']",Private room in rental unit,Private room,2,1,1 private bath,1,2,392,4.54
10768745,https://www.airbnb.com/rooms/10768745,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,5691268,Elizabeth,30/03/13,"Albany, NY",within an hour,98%,92%,t,2,3,"['email', 'phone']",Entire home,Entire home/apt,1,1,1 bath,1,1,697,4.82
11253948,https://www.airbnb.com/rooms/11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire place,Entire home/apt,10,2,2 baths,3,4,158,4.95
11639446,https://www.airbnb.com/rooms/11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",61700428,Adam,05/03/16,"Albany, NY",within a few hours,100%,90%,f,2,2,"['email', 'phone']",Private room in home,Private room,1,1.5,1.5 shared baths,0,1,231,4.81
12284708,https://www.airbnb.com/rooms/12284708,"Well Lit Modern Room, Perfect Location Albany","Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,61,4.61
12799126,https://www.airbnb.com/rooms/12799126,Private Room in the Hearth of the Albany,"Perfect location with clean comfortable private room surrounded by bars restaurants, market, parks and many more.",69729286,Musab,01/05/16,"Albany, NY",within an hour,100%,100%,f,2,2,"['email', 'phone']",Private room in rental unit,Private room,1,1,1 shared bath,1,1,28,4.82
13083497,https://www.airbnb.com/rooms/13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms,"Immaculate two level 3000 Sq. Ft. Bright & Sunny Cape Cod with 4 large bedrooms, Den, 2 full baths, living, dining & kitchen. Central Air & Heat. The house is situated in upscale Pine hills neighborhood on a quite dead end street with a Creek flowing through the back of the property. Peaceful & Serene View from Deck. Convenient location. Parking, local & international telephone calls, Cable TV & WiFi included.  Relax on the deck overlooking creek with nature sounds. Short drive  to Ski Resorts.",1364123,Akhilesh,02/11/11,"Albany, NY",within an hour,100%,100%,f,1,5,"['email', 'phone']",Entire home,Entire home/apt,8,2,2 baths,4,4,184,4.67
14316232,https://www.airbnb.com/rooms/14316232,"Unique Modern Room, Perfect Location Albany","Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife. <br /><br />Recently renovated room packed with basic amenities.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,1,1,1 shared bath,1,1,51,4.67
14989805,https://www.airbnb.com/rooms/14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,"My place is close to University of Albany, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture. You’ll love my place because of the location, the ambiance, the outdoors space, fully renovated, newly furnished, nice yard, awesome double rear deck,  open floor plan and central air.   My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends ($50 pet fee w/ booties included).",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,7,2,2 baths,2,2,100,4.95
15580397,https://www.airbnb.com/rooms/15580397,Albany Med/Downtown Albany/Colleges/BLUE ROOM.,"Private bedroom, shared living room, and shared bathroom on the 2nd floor in my personal home with 2-3 guests or by yourself.   3 fans in each bedroom. Mini fridge, microwave, coffee maker, and toaster in the room.  No ac and no kitchen use. Self checkin Owner-occupied house. On bus lines.. You’ll love my place because of its uniqueness, location, and vintage finds.  Direct bus line to Greyhound, Amtrak,  Mall, Empire State Plaza, , MegabDtw Albany and Suny Albany.  Free street parking only.",89705052,Share,13/08/16,"Albany, NY",within an hour,100%,100%,t,4,9,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,43,4.72
16531782,https://www.airbnb.com/rooms/16531782,On a little park in Albany pine hills. (Blue),,5691268,Elizabeth,30/03/13,"Albany, NY",within an hour,98%,92%,t,2,3,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,425,4.74
17238066,https://www.airbnb.com/rooms/17238066,"$53($25 foreign student)Twin, noa/cno Smoke freeBF","IF YOUR PRIORITY IS GOOD NEIGHBORHOOD AND FANCY CLEAN HOUSE”DO NOT PRFER US”<br />IF YOUR PRIORITY IS “””SAFETY PLACE,GREEN LIFE AND ORGANIC NUTRITION””” YOU PREFER US<br />Important notice<br />We updated our cleaning protocol duo to COVID-19 pandemic.<br /><br />This room is not 5 stars hotel room.<br /> Before booking,read carefully about room description.<br />Breakfast free,Wi Fi high speed internet<br />We don't use chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .",61700428,Adam,05/03/16,"Albany, NY",within a few hours,100%,90%,f,2,2,"['email', 'phone']",Private room in home,Private room,1,1.5,1.5 shared baths,0,1,132,4.92
17514620,https://www.airbnb.com/rooms/17514620,Cozy Modern Room Perfect Location Albany,"Convenience and comfort is what you will find. Private bedroom offered in single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.<br />Full kitchen available with comfortable living room and full bathroom.<br />Hosted multiple medical professionals, students, state interns, and more!<br /><br />House is a 4 bedroom 1 bath home.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,1,1,1 shared bath,1,1,54,4.74
18341426,https://www.airbnb.com/rooms/18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,"Cute single family home in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br /> It features  a driveway with covered parking, a nice outdoor area with seating, lounging and a weber 3 burner propane grill.   The home has central air and a 5 person Clearlight Premier IS-5 infrared cedar sauna by Jacuzzi. <br /><br />My place is close to University of Albany, tennis, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,6,1,1 bath,2,3,58,4.97
19527043,https://www.airbnb.com/rooms/19527043,Charming 1 Bedroom in a Historic Residential Home,"Urban Oasis!  2nd Floor master bedroom in residential home.  Queen sized bed. Private bath. Mini-refrigerator, microwave and sitting area in room. Shared entrance but access to full kitchen, bath, bedroom, laundry and parking. Walking distance to Albany Med, Albany Pharmacy, Albany Law School, College of St. Rose and Sage College.  On Main bus line.  10 minute drive from downtown",15223767,Ed,07/05/14,"Albany, NY",within an hour,100%,92%,t,3,3,"['email', 'phone', 'work_email']",Private room in home,Private room,2,1,1 private bath,1,1,80,4.96
19571496,https://www.airbnb.com/rooms/19571496,Modern Studio Perfect Location Albany,"Spacious private floor in uptown Albany. <br />Enjoy your own living room that was recently renovated and furnished.<br /><br />Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,2,1,27,4.59
20519885,https://www.airbnb.com/rooms/20519885,All The Comforts Of Home For You In Albany,"Our spacious 2048 sq. ft. 5 bedroom. 2 bath, house is the perfect place for serious minded groups. <br /><br />We welcome business travelers and family travelers looking for a quiet, sanitized gorgeous home for extended stays in the city. Our reviews emphasize that we offer the comfortable accommodations to meet all of your needed expectations. <br /><br />We offer a 30% discount for monthly stays!<br /><br />Welcome to Albany",67171774,Michael And Flerida,14/04/16,"Stamford, NY",within an hour,100%,100%,t,1,1,"['email', 'phone']",Entire home,Entire home/apt,9,2,2 baths,5,6,101,4.92
20620135,https://www.airbnb.com/rooms/20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,"Cute single family home in a convenient location with the lots of restaurants, bars and shops right around the corner. It features a driveway with covered parking, a nice outdoor area and central air. My place is close to University of Albany, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture. Parties and events are not allowed.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,6,1,1 bath,2,3,57,4.93
20633175,https://www.airbnb.com/rooms/20633175,"Garden Apartment, on the Park, close to Capital.","Our recently remodeled one-bedroom apartment boasts a park view, easy parking and is close to downtown Albany. We have an easy walk to groceries, Government Buildings, Albany Law School, College of Pharmacy, VA and Albany Medical Center Hospitals, and Lark Street restaurants and nightlife. The living area features a queen size futon and views of the sunset most evenings, and the bedroom features a luxurious queen-sized memory foam bed and access to our quiet garden where the sun rises.",65414985,James,01/04/16,"Albany, NY",within an hour,100%,94%,t,2,2,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,4,1,1 bath,1,2,131,4.91
20671966,https://www.airbnb.com/rooms/20671966,The Metropolitan,"This full apartment is located on the 3rd floor in this beautiful Victorian. All the comforts of home. Nothing shared,has a full bathtub,full kitchen,one bedroom with a queen bed. Living room and an office,located next to Albany Medical Center and close to law schools and universities.",98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Entire home,Entire home/apt,2,1,1 bath,1,1,41,4.9
21052414,https://www.airbnb.com/rooms/21052414,Cozy bedroom with (2) walk-in closets,NEWLY FURNISHED and RENOVATED.  Come relax in my cozy home on a quiet street.  Plenty of free street parking available.  We provide an indoor porch for your comfort.  Downstairs comes with large dining and living room.  Beautiful full kitchen with view of backyard.  1 full bathroom.  We are minutes from the major universities and hospitals.  Walking distance to St. Rose. Bus station 1 block away on Washington Ave! Bienvenidos,135717458,Chad,18/06/17,"Gloversville, NY",within an hour,100%,95%,t,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,42,4.76
21392315,https://www.airbnb.com/rooms/21392315,The Blair Suite,"A complete apartment. The Blair Suite, named after the original owner of this beautiful 1890's Victorian, is located on the basement floor. It has it's own private entrance on the side of the home. Located in historic Albany, close to everything, hospitals, schools, museums, restaurants and Washington Park.",98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,119,4.87
21449583,https://www.airbnb.com/rooms/21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,"Lovely Ranch home nestled on a quiet street near the SUNY campus. This home has a detached garage, porch and patio.  There's central air, new dishwasher, 55"" 4k Smart TV, new furniture, lots of seating and expanding dining table for up to 8+.  Lots of Parking.  2 Queen bedrooms and 2 more beds can be added to one of the common rooms.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,15,1.5,1.5 baths,4,4,8,5
21752534,https://www.airbnb.com/rooms/21752534,"NEW LISTING! Modern, completely updated, LOCATION!","Come explore Albany in my newly renovated fully furnished apartment which is conveniently located near hospitals, schools, parks and restaurants.",152762198,Allen,30/09/17,"Albany, NY",within an hour,100%,99%,t,9,17,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,1,2,172,4.74
21769213,https://www.airbnb.com/rooms/21769213,Cozy downstairs bedroom in quiet neighborhood!,NEWLY FURNISHED and RENOVATED.  Come relax in my cozy home on a quiet street.  Plenty of free street parking available.  We provide an indoor porch for your comfort.  Downstairs comes with large dining and living room.  Beautiful full kitchen with view of backyard.  1 full bathroom.  We are minutes from the major universities and hospitals.  Walking distance to St. Rose. Bus station 1 block away on Washington Ave! Bienvenidos,135717458,Chad,18/06/17,"Gloversville, NY",within an hour,100%,95%,t,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,26,4.88
21769439,https://www.airbnb.com/rooms/21769439,Cozy upstairs room with (1) walk-in closet,NEWLY FURNISHED and RENOVATED.  Come relax in my cozy home on a quiet street.  Plenty of free street parking available.  We provide an indoor porch for your comfort.  Downstairs comes with large dining and living room.  Beautiful full kitchen with view of backyard.  1 full bathroom.  We are minutes from the major universities and hospitals.  Walking distance to St. Rose. Bus station 1 block away on Washington Ave! Bienvenidos,135717458,Chad,18/06/17,"Gloversville, NY",within an hour,100%,95%,t,15,15,"['email', 'phone']",Private room in home,Private room,1,1,1 shared bath,1,1,23,4.83
22398196,https://www.airbnb.com/rooms/22398196,Elegant Guest Suite in our beautiful Victorian!,This home is a gorgeous 100 year old Victorian  <br />This suite is located on the 2nd floor. All the comforts of home! A very clean and quiet setting makes  for a comfortable stay here at the Inn.,98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Private room in home,Private room,2,1,1 private bath,1,1,111,4.92
22431640,https://www.airbnb.com/rooms/22431640,"Bright Central Apartment Near Hospital, Park and","This city oasis is in an urban area near a lot of what Albany has to offer.  In the apartment there is a full kitchen, a queen bed and futon, and a coffee and tea bar. On the property there is a washer and dryer and a sauna. <br /><br />The apartment is just outside of Center Square, you will be located within walking distance of:<br /><br />*Several bars and restaurants <br />*Lincoln and Washington park <br />*Albany Medical Center<br />*Albany Pharmacy College<br />*Sage College <br />*New York State Museum<br />And more....",108848737,Jake,28/12/16,"Albany, NY",within an hour,100%,85%,t,3,3,"['email', 'phone']",Entire rental unit,Entire home/apt,3,1,1 bath,1,2,456,4.81
24120690,https://www.airbnb.com/rooms/24120690,One Bedroom apartment with private entrance,"One bedroom studio, private full living room with mini fridge, coffee maker, microwave, Smart TV and private full bathroom. Private entrance and off street parking.   Queen size bed, one closet and one dresser. Suite located walking distance from St. Peter's Hospital, Maria College. Near Albany Med, Washington Park, U Albany.  Access to public transportation CDTA #13and # 734 and #100. Not far from Greyhound and the Mega Bus. Uber and Lyft.",156446839,Domini,27/10/17,"Albany, NY",within a day,50%,63%,f,1,4,"['email', 'phone']",Private room in guest suite,Private room,2,,1 private bath,,,121,4.93
24606880,https://www.airbnb.com/rooms/24606880,The Western Suite,"Located in a huge Victorian, this beautiful suite comes furnished with a queen size bed, desk, dresser, Cable TV, Wifi,  small fridge,Private bath.",98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Private room in guest suite,Private room,2,1,1 private bath,1,1,45,4.93
24655782,https://www.airbnb.com/rooms/24655782,⭐⭐Check it out! This apartmnt has a bunch of great,"This apartment is close to hospitals, downtown, colleges, center square and many more places. There are a bunch of amenities included as well! Check them out below.",108848737,Jake,28/12/16,"Albany, NY",within an hour,100%,85%,t,3,3,"['email', 'phone']",Entire rental unit,Entire home/apt,3,1,1 bath,1,2,397,4.89
25549565,https://www.airbnb.com/rooms/25549565,Quiet and Pretty in the Heart of Center Square,"Private entrance to garden level suite in a historic yet completely renovated 1858 town house, on pretty, cobblestone street with free on street parking. Hosts live above on the main and<br /> upper level.  Private full bathroom, living room, bedroom, and access to a secluded private garden/patio.  Bright, comfortable living area with big sofa, coffee and microwave, Netflix and HBO.",9666970,Janet,27/10/13,"Albany, NY",within a day,79%,79%,t,1,1,"['email', 'phone']",Entire guest suite,Entire home/apt,2,1,1 bath,1,1,853,4.9
25976514,https://www.airbnb.com/rooms/25976514,City Feel - Green Room,The rooms are modern with a city feel.<br /><br />We also have a larger room (City Feel - Purple Room):<br />https://www.airbnb.com/rooms/34753290?s=67&shared_item_type=1&virality_entry_point=1&sharer_id=200428808,31757246,Leiba,22/04/15,"Albany, NY",within a day,50%,100%,f,2,4,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,13,4.92
26139592,https://www.airbnb.com/rooms/26139592,Garden Apartment in Ctr. Square: Monthly Discounts,"Comfortable and quiet, one-bedroom garden apartment with full kitchen in the heart of the charming Center Square neighborhood.",6833937,Farah,10/06/13,"Albany, NY",N/A,N/A,N/A,f,1,1,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,1,1,118,4.84
27670660,https://www.airbnb.com/rooms/27670660,The Rock & Roll Suite,"ThRock&Roll Suite is located on the second floor of this huge Victorian on South Lake Ave . Features a Queen size bed , Full private bath , Walking distance to Albany Med",98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Private room in rental unit,Private room,2,1,1 private bath,1,1,24,5
27692601,https://www.airbnb.com/rooms/27692601,Albany Cozy home with fireplaces and Sunroom,Times Union Center 5 miles away<br />Concerts and Special Events <br />30 minutes to Saratoga Race track<br />and Racino <br />SUNY Albany 10 miles <br />Lake George an hour away<br />Rivers Casino Schenectady 20 minutes<br />Golf course 2 minutes <br />Crossgates Mall 10 minutes,202580880,Rosanne,15/07/18,"Albany, NY",within a day,100%,0%,f,1,2,"['email', 'phone']",Entire home,Entire home/apt,4,1.5,1.5 baths,2,2,14,4.93
28341274,https://www.airbnb.com/rooms/28341274,Private room in historic building on the park,"My home is within walking distance of the Capital, the Empire State Plaza, Albany Medical Center, and many restaurants and museums. It's directly across from beautiful Washington Park, and it's an ideal location for medical students,  nurses,  people taking the bar exam, or here on business. I'm fully vaccinated as of May.  Please note resident cats and acknowledge that you're aware. Thanks!!",54394342,Alice,12/01/16,"Albany, NY",within an hour,100%,92%,t,1,5,"['email', 'phone']",Private room in rental unit,Private room,1,1,1 shared bath,1,1,73,4.96
28400263,https://www.airbnb.com/rooms/28400263,Private Room in Historic Residential Home,"Urban Oasis!  2nd Floor guest bedroom in residential home.  Shared entrance.  Access to full kitchen, shared bath, bedroom, laundry and parking. Walking distance to Albany Med, Albany Pharmacy, Albany Law School, College of St. Rose and Sage College.  On Main bus line.  10 minute drive from downtown",15223767,Ed,07/05/14,"Albany, NY",within an hour,100%,92%,t,3,3,"['email', 'phone', 'work_email']",Private room in rental unit,Private room,2,1,1 shared bath,1,1,260,4.95
28519423,https://www.airbnb.com/rooms/28519423,Albany Med/Downtown Albany/Colleges/RED ROOM.,"Furnished bedroom<br />Shared Livingroom and bath on 2nd fl<br />16"" memory foam mattress<br />40""-inch tv with fire stick<br />Mini fridge, 3 fans, microwave, toaster and coffeemaker <br />Desk and chair<br />Hardwood floors/area rug. <br />Walking distance to Albany Medical Center, colleges, and Washington Park. (2-3 blocks) <br />My home has a CULTURED/HISTORY DECOR.  <br />On bus lines  <br />(1900) home<br />Great location in lower Pine Hills.<br />Direct bus line to/from Greyhound, Amtrak,  Mall, State Plaza,  Megabus, Dt Albany and Suny Albany.",89705052,Share,13/08/16,"Albany, NY",within an hour,100%,100%,t,4,9,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,66,4.68
28722270,https://www.airbnb.com/rooms/28722270,✍Historic Loft Suite @ Downtown Albany,"BOOK this attic loft in a renovated historic 200 year-old building in a quiet neighborhood of Albany's Pastures. Great location near Albany Medical Center, Times Union Center, Empire State Plaza, Library, Lark Street, State Offices, courts; easy access to local & regional bus routes and highways (I-787, I-90 & I-87).  Great for traveling nurses!<br /><br />Accommodates up to 4 NON-SMOKING guests.<br />Toiletries included.<br /><br />Save & BOOK our 3rd Fl suite today!<br />Message me anytime. Hope to welcome you soon!<br /><br />-Earl",44434571,Earl,17/09/15,,within an hour,100%,99%,f,7,7,"['email', 'phone']",Entire loft,Entire home/apt,5,1,1 bath,1,2,648,4.8
28868857,https://www.airbnb.com/rooms/28868857,⭐Cozy Garden Suite Full Amenities @Downtown Albany,"BOOK our affordable basement-level suite in the quiet neighborhood of Albany's Pastures.<br />Great location near Albany Med, Times Union Center, Empire State Plaza, Library, Lark Street, State Offices, courts, restaurants, entertainment; easy access to local and regional bus routes and highways (I-787, I-90 and I-87).<br />10-hour metered parking in front, free after 5 PM and weekends.<br /><br />Accommodates up to 3 NON-SMOKING guests.<br />Toiletries included.<br /><br />Message me anytime. Hope to welcome you soon!<br /><br />-Earl",44434571,Earl,17/09/15,,within an hour,100%,99%,f,7,7,"['email', 'phone']",Entire guest suite,Entire home/apt,3,1,1 bath,0,1,574,4.71
28929840,https://www.airbnb.com/rooms/28929840,Spacious private suite and private bath,"Quiet suburban neighborhood minutes from downtown Albany. Guests have access to the kitchen, dinette and deck. Garage space is also available.<br /><br />Private guest quarters include a large bedroom with a queen-size bed, desk and private bath. Guests also enjoy their own spacious living area with a large TV, massage chair, convertible couch, microwave, water cooler and exercise equipment.",194113768,Rachel,07/06/18,"Albany, NY",within an hour,100%,100%,f,2,2,"['email', 'phone']",Private room in home,Private room,2,1,1 private bath,0,1,7,5
29605579,https://www.airbnb.com/rooms/29605579,Funky Urban 1 Bedroom Apt w/ Parking in Center Sq,"Bright little one bedroom apartment with parking in the heart of Center Sq.  A neighborhood, filled with restaurants, pubs, arts, architecture and  lots character. Just a block away from Washington Park and walk-able to The Capital, NYS Museum, NYS Archives, Downtown, Albany Med, Albany Law & Stratton VA",19648678,Terra,07/08/14,,within a few hours,100%,76%,f,4,7,"['email', 'phone']",Entire serviced apartment,Entire home/apt,2,1,1 bath,1,1,91,4.64
30189794,https://www.airbnb.com/rooms/30189794,Seashore Suite At The Inn on South Lake,"This Suite has been refurbished completely. A beautiful and comfortable Suite that has everything a guest needs! Nice decor with a queen bed, desk, cable TV, WiFi, ironing board, blow dryer and your own private bath. Private entrance close to front of house.  The Inn at South Lake is a large Victorian with multiple dorm style suites. Each suite has it's own private lock. A very quiet, professional atmosphere .",98744672,Bela,08/10/16,"Albany, NY",within an hour,100%,98%,t,8,8,"['email', 'phone', 'work_email']",Private room in home,Private room,1,1,1 private bath,1,1,68,4.94
31210362,https://www.airbnb.com/rooms/31210362,Nest in Hazel,"Currently only renting to females as we have a daughter. We are close to the bus line and SUNY, within walking distance, nice quiet, safe neighborhood with everything from a Church to several different restaurants and bars. Can be downtown within the hour on the bus or to the malls within 30 minutes.",160340958,Jon,27/11/17,"Albany, NY",within a few hours,75%,100%,f,1,2,"['email', 'phone']",Private room in home,Private room,1,1,1 private bath,1,1,27,4.7
32279028,https://www.airbnb.com/rooms/32279028,"Cosy, comfy and quiet for one","Comfortable single- family home in quiet residential neighborhood.  There is a very friendly cat named Finn in residence who will greet you. Large bathroom with a “guest sink” and two showers to choose from. Comfortable beds and a desk to work at. Easy parking, bus routes to downtown at both ends of the block. Close to hospitals, Albany JCC, library. Wide variety of restaurants nearby.",172223381,Diana,07/02/18,"Albany, NY",within an hour,100%,100%,t,2,2,"['email', 'phone']",Private room in home,Private room,1,,1.5 shared baths,,,205,4.96
