id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating
53312101,https://www.airbnb.com/rooms/53312101,* 1 bed near Times Union center & Egg w/parking *,1 bedroom with high ceiling and natural light. Fully stocked kitchen with complimentary Netflix. Centrally located in South End of Albany in converted school. Great value with off street parking included,232967878,Diana,28/12/18,"Albany, NY",within an hour,99%,98%,t,27,39,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,2,52,4.79
53483727,https://www.airbnb.com/rooms/53483727,Spacious Urban APT w/4BR & Office in Albany,"Visiting Albany for work, vacation, or to visit family? The Twitchell Estate is a spacious 4BR home that will be perfect for your stay. This elegantly designed Boho Chic rental comes with amenities such as self-check-in, Netflix, Disney+, Apple TV, and many other streaming options if you're looking to relax indoors, and a private laptop-friendly office with Wi-Fi if you need to get work done. Enjoy free coffee and tea in the stocked kitchen, with everything you need to feel like you are at home.",433096110,Brian,22/11/21,"Saratoga Springs, NY",within an hour,100%,95%,t,3,5,"['email', 'phone']",Entire vacation home,Entire home/apt,8,1.5,1.5 baths,4,4,136,4.95
53567589,https://www.airbnb.com/rooms/53567589,Private Garden Apt in Downtown Albany|Pets Allowed,"Discover Lark Street - A Hip Albany Neighborhood. With countless restaurants, cafes, art galleries, special events, and more, this funky arts and entertainment district is a major Albany hotspot. The Spot on Lark is a beautifully renovated 1850s era 4 - story brick building, in the heart of Lark Street, and a perfect oasis to relax and explore. We have taken ample time to carefully craft this space with tasteful décor, to maximize its potential and ensure your enjoyment",433096110,Brian,22/11/21,"Saratoga Springs, NY",within an hour,100%,95%,t,3,5,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,223,4.89
53645427,https://www.airbnb.com/rooms/53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,"BEAUTIFUL + LUXURIOUS renovated apartment with CHARACTER in a historic building. <br /><br />This spacious 2 bedroom feature a bright reading nook in the master bedroom, an office space, a soaker tub, 4K Smart TV with Netflix, and high speed internet ready for you to use! It comes with a fully stocked kitchen, in unit washer/dryer, free resident parking, and a fenced shared backyard with bbq for guests to enjoy.",47625981,Linda,28/10/15,"Albany, NY",within an hour,99%,99%,f,17,17,"['email', 'phone']",Entire rental unit,Entire home/apt,5,2,2 baths,2,2,98,4.68
53860077,https://www.airbnb.com/rooms/53860077,/ Gorgeous Garden Getaway\ 1943 SUNY Eagle Hill,"Meticulously and lovingly maintained home. Living and dining rooms feature gleaming hardwood floors.   Private fenced in yard. Excellent Albany location off of Western Ave- close to highways, restaurants, shopping etc.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire cottage,Entire home/apt,8,2,2 baths,4,4,23,5
53939991,https://www.airbnb.com/rooms/53939991,Walk to Albany Med/New Scotland’s Restaurant Row,Old Albany style 4-unit apartment building with original details preserved.  Safe area within walking distance of amenities. Quiet and respectful long-term medical student/resident tenants. Perfect for medical professionals or Albany Med students/residents.,30883612,Mary,09/04/15,"Portland, OR",within an hour,100%,98%,t,3,4,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,1,4
53971505,https://www.airbnb.com/rooms/53971505,Charming 1 Bdrm Garden Apt in Historic Brownstone,,60293220,David,24/02/16,"Latham, NY",within an hour,86%,100%,f,3,3,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,2,,1 bath,1,,3,5
54097694,https://www.airbnb.com/rooms/54097694,B Unieke,"You'll love this unique and romantic escape. Suitable for pre-gaming a night out or to rendezvous after a night out! Perfect for small intimate gatherings or for just you and that special someone. Folding tables, chairs and other amenities available. Great for Sip and Paints, private dinners etc. Venue is safe and secure. This space rents in hourly blocks starting at $75.00 per hour.",438504176,Roland,02/01/22,,a few days or more,0%,N/A,f,1,1,"['email', 'phone']",Entire place,Entire home/apt,4,0.5,Half-bath,0,1,0,
54126420,https://www.airbnb.com/rooms/54126420,Beautiful 1 bedroom in a quiet residential area.,"1 bedroom private apartment located in a quiet residential area of Albany. Few minutes away walking distance from Market 32 and restaurants. Minutes away from St Rose, 7Min driving Downtown Albany, 5 min from Albany Med and 3 min from Saint Peters. Not far from Washington Park.",37769478,Erion,07/07/15,"Albany, NY",within an hour,100%,99%,t,12,12,"['email', 'phone']",Entire home,Entire home/apt,2,1,1 bath,1,1,84,4.73
54126421,https://www.airbnb.com/rooms/54126421,Beautiful Apartment in the heart of Albany,"A beautiful newly renovated 2 Bedroom apartment. 1 bedroom is set up as office with a desk and chair and also a yoga mat and workout bands. The apartment is located 3 minutes walking from Albany Med, a few steps away from Washington Park, several minutes from State offices. The area is full of great restaurants, walking distance grocery store and boutique shops.",37769478,Erion,07/07/15,"Albany, NY",within an hour,100%,99%,t,12,12,"['email', 'phone']",Entire townhouse,Entire home/apt,2,1,1 bath,1,1,61,4.92
54126427,https://www.airbnb.com/rooms/54126427,Beautiful 1 bedroom In the heart of Albany,"A beautiful 1 bedroom with an office space and designated off street parking located in the heart of Albany next to Washington Park, 2min walking from Albany Med 3min drive to Saint Peters Hospital, 6 minutes from the train station, 5 minutes from the capital, walking distance to Lark street if you’re looking for restaurants or grab a drink.",37769478,Erion,07/07/15,"Albany, NY",within an hour,100%,99%,t,12,12,"['email', 'phone']",Entire townhouse,Entire home/apt,2,1,1 bath,1,1,102,4.9
54128829,https://www.airbnb.com/rooms/54128829,Modern & Cozy Cntr Square Townhouse Gem from 1854,"This amazing Airbnb will give you all the comforts of home! Tastefully decorated with everything you need and then some!!<br /><br />-> Grab-N-Go items (Coffee, Tea, Light Snacks)<br />-> Smart LED Tvs in (2) Livingrooms & (2) Bedrooms<br />-> NordicTrack & Peloton bicycles<br />-> Smart locks with keyless entry<br />-> Fast wireless WiFi<br />-> Queen beds with premium mattresses & pillow covers<br />-> Fully equipped + utensil stocked kitchen + Keurig Coffee <br />-> Full size washer/dryer <br /><br />And much more so come and enjoy your stay!",265709295,Richard & Priscela,02/06/19,"Albany, NY",within an hour,100%,93%,t,2,2,"['email', 'phone']",Entire townhouse,Entire home/apt,9,2,2 baths,2,5,214,5
54150131,https://www.airbnb.com/rooms/54150131,Charming 170-Year-Old Home in the Heart of Albany,"This charming townhouse is located in the historic district of Albany. This stay is surrounded by many great indoor and outdoor attractions. The State Capitol is a short 5 minute walk away. For those who enjoy trying new food or love their morning coffee, you can visit one of the many restaurants, bars and cafes located on Lark Street. No matter what reason you have for visiting Albany, this home away from home is the perfect stay!",432936385,Jared,21/11/21,"Albany, NY",within an hour,100%,98%,t,1,1,"['email', 'phone']",Entire townhouse,Entire home/apt,8,2,2 baths,3,4,164,4.97
54232383,https://www.airbnb.com/rooms/54232383,Lovely 2 bedroom unit with indoor fireplace.,Take it easy at this unique and tranquil location close to the highway.,272907816,Angela,02/07/19,"Albany, NY",within a day,100%,91%,f,4,6,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,2,2,5,4.8
54369238,https://www.airbnb.com/rooms/54369238,"Cozy townhouse, close to hospital, free parking!",Your family will be close to everything when you stay at this centrally-located place.,152762198,Allen,30/09/17,"Albany, NY",within an hour,100%,99%,t,9,17,"['email', 'phone']",Entire townhouse,Entire home/apt,6,1.5,1.5 baths,2,2,37,4.89
54369240,https://www.airbnb.com/rooms/54369240,Lovely 1 bedroom rental close to Alb Med!,Keep it simple at this peaceful and centrally-located apartment.,152762198,Allen,30/09/17,"Albany, NY",within an hour,100%,99%,t,9,17,"['email', 'phone']",Entire rental unit,Entire home/apt,3,1,1 bath,1,1,46,4.78
