listing_id,date,available,price,minimum_nights,maximum_nights
2992450,28/01/24,f,$70.00,28,1125
2992450,29/01/24,f,$70.00,28,1125
2992450,30/01/24,f,$70.00,28,1125
2992450,31/01/24,f,$70.00,28,1125
2992450,01/02/24,f,$70.00,28,1125
2992450,02/02/24,f,$70.00,28,1125
2992450,03/02/24,f,$70.00,28,1125
2992450,04/02/24,f,$70.00,28,1125
2992450,05/02/24,f,$70.00,28,1125
2992450,06/02/24,f,$70.00,28,1125
2992450,07/02/24,f,$70.00,28,1125
2992450,08/02/24,f,$70.00,28,1125
2992450,09/02/24,f,$70.00,28,1125
2992450,10/02/24,f,$70.00,28,1125
2992450,11/02/24,f,$70.00,28,1125
2992450,12/02/24,f,$70.00,28,1125
2992450,13/02/24,f,$70.00,28,1125
2992450,14/02/24,f,$70.00,28,1125
2992450,15/02/24,f,$70.00,28,1125
2992450,16/02/24,f,$70.00,28,1125
2992450,17/02/24,f,$70.00,28,1125
2992450,18/02/24,f,$70.00,28,1125
2992450,19/02/24,f,$70.00,28,1125
2992450,20/02/24,f,$70.00,28,1125
2992450,21/02/24,f,$70.00,28,1125
2992450,22/02/24,f,$70.00,28,1125
2992450,23/02/24,f,$70.00,28,1125
2992450,24/02/24,f,$70.00,28,1125
2992450,25/02/24,f,$70.00,28,1125
2992450,26/02/24,f,$70.00,28,1125
2992450,27/02/24,f,$70.00,28,1125
2992450,28/02/24,f,$70.00,28,1125
2992450,29/02/24,f,$70.00,28,1125
2992450,01/03/24,f,$70.00,28,1125
2992450,02/03/24,f,$70.00,28,1125
2992450,03/03/24,f,$70.00,28,1125
2992450,04/03/24,f,$70.00,28,1125
2992450,05/03/24,f,$70.00,28,1125
2992450,06/03/24,f,$70.00,28,1125
2992450,07/03/24,f,$70.00,28,1125
2992450,08/03/24,f,$70.00,28,1125
2992450,09/03/24,f,$70.00,28,1125
2992450,10/03/24,f,$70.00,28,1125
2992450,11/03/24,f,$70.00,28,1125
2992450,12/03/24,f,$70.00,28,1125
2992450,13/03/24,f,$70.00,28,1125
2992450,14/03/24,f,$70.00,28,1125
2992450,15/03/24,f,$70.00,28,1125
2992450,16/03/24,f,$70.00,28,1125
2992450,17/03/24,f,$70.00,28,1125
2992450,18/03/24,f,$70.00,28,1125
2992450,19/03/24,f,$70.00,28,1125
2992450,20/03/24,f,$70.00,28,1125
2992450,21/03/24,f,$70.00,28,1125
2992450,22/03/24,f,$70.00,28,1125
2992450,23/03/24,f,$70.00,28,1125
2992450,24/03/24,f,$70.00,28,1125
2992450,25/03/24,f,$70.00,28,1125
2992450,26/03/24,f,$70.00,28,1125
2992450,27/03/24,f,$70.00,28,1125
2992450,28/03/24,f,$70.00,28,1125
2992450,29/03/24,f,$70.00,28,1125
2992450,30/03/24,f,$70.00,28,1125
2992450,31/03/24,t,$70.00,28,1125
2992450,01/04/24,t,$70.00,28,1125
2992450,02/04/24,t,$70.00,28,1125
2992450,03/04/24,t,$70.00,28,1125
2992450,04/04/24,t,$70.00,28,1125
2992450,05/04/24,t,$70.00,28,1125
2992450,06/04/24,t,$70.00,28,1125
2992450,07/04/24,t,$70.00,28,1125
2992450,08/04/24,t,$70.00,28,1125
2992450,09/04/24,t,$70.00,28,1125
2992450,10/04/24,t,$70.00,28,1125
2992450,11/04/24,t,$70.00,28,1125
2992450,12/04/24,t,$70.00,28,1125
2992450,13/04/24,t,$70.00,28,1125
2992450,14/04/24,t,$70.00,28,1125
2992450,15/04/24,t,$70.00,28,1125
2992450,16/04/24,t,$70.00,28,1125
2992450,17/04/24,t,$70.00,28,1125
2992450,18/04/24,t,$70.00,28,1125
2992450,19/04/24,t,$70.00,28,1125
2992450,20/04/24,t,$70.00,28,1125
2992450,21/04/24,t,$70.00,28,1125
2992450,22/04/24,t,$70.00,28,1125
2992450,23/04/24,t,$70.00,28,1125
2992450,24/04/24,t,$70.00,28,1125
2992450,25/04/24,t,$70.00,28,1125
2992450,26/04/24,t,$70.00,28,1125
2992450,27/04/24,t,$70.00,28,1125
2992450,28/04/24,t,$70.00,28,1125
2992450,29/04/24,t,$70.00,28,1125
2992450,30/04/24,t,$70.00,28,1125
2992450,01/05/24,t,$70.00,28,1125
2992450,02/05/24,t,$70.00,28,1125
2992450,03/05/24,t,$70.00,28,1125
2992450,04/05/24,t,$70.00,28,1125
2992450,05/05/24,t,$70.00,28,1125
2992450,06/05/24,t,$70.00,28,1125
